Name,Genus,Plant_img,Description,Color
Shining Moment Rose,Rosa,shining_moment_single_1.jpg,Enjoys full sun. Exhibits excellent disease resistance and blooms non-stop throughout the season with attractive, bright flowers.,Deep pink
The Forever and Ever Pink Rose,Rosa,forever_roses.jpg,An ever-blooming shrub rose. Delivers continuous blooms throughout the summer through fall. Attracts pollinators and has exceptional resistance to disease.,Pink, yellow
The Knockout Rose,Rosa,knockout.jpg,Easy-care, extended blooming season with repeat flowering, and increased disease resistance when compared to traditional tea roses. These fast-growing, compact, deciduous shrubs can be grown singly or in groups.,Pink 
